"","Age","Gender","Weight..kg.","Height..m.","Max_BPM","Avg_BPM","Resting_BPM","Session_Duration..hours.","Calories_Burned","Workout_Type","Fat_Percentage","Water_Intake..liters.","Workout_Frequency..days.week.","Experience_Level","BMI","Daily.meals.frequency","Physical.exercise","Carbs","Proteins","Fats","Calories","meal_name","meal_type","diet_type","sugar_g","sodium_mg","cholesterol_mg","serving_size_g","cooking_method","prep_time_min","cook_time_min","rating","Name.of.Exercise","Sets","Reps","Benefit","Burns.Calories..per.30.min.","Target.Muscle.Group","Equipment.Needed","Difficulty.Level","Body.Part","Type.of.Muscle","Workout","BMI_calc","cal_from_macros","pct_carbs","protein_per_kg","pct_HRR","pct_maxHR","cal_balance","lean_mass_kg","expected_burn","Burns.Calories..per.30.min._bc","Burns_Calories_Bin"
"3942",37.34,"Female","40.84","1.79",195.07,160.91,54.95,0.62,613.24,"Strength",21.1263675548478,2.7,2,1,12.75,2.01,0.98,275.78,108.89,72.38,1056,"Other","Breakfast","Keto",23.09,1133.44,46.5,217.24,"Baked",14.09,119.6,2.76,"Tricep Extensions",4.01,20.92,"Improves coordination and cardiovascular health",351.83,"Lower Abs","Cable Machine","Beginner","Shoulders","Upper","Overhead triceps extensions",12.7461689710059,2190.1,0.50368476325282,2.66625857002938,0.756208963745361,0.824883375198647,442.76,32.2119914906002,436.2692,90255705683736264704,"High"
"3943",32.04,"Male","105.39","1.67",183.85,142.49,72.05,0.58,511.79,"Cardio",35,2.9,3.01,1,37.79,3.02,0.03,216.71,87.08,57.44,2668,"Other","Dinner","Balanced",46.24,1016.25,57.56,449.57,"Roasted",45.91,108.02,1.13,"Jumping Jacks",4.98,19.98,"Builds lower body power and endurance",361.79,"Quadriceps, Hamstrings, Glutes","Wall","Intermediate","Back","Grip Strength","Bent-over rows",37.7890924737352,1732.12,0.500450315220654,0.826264351456495,0.63005366726297,0.775033995104705,2156.21,68.5035,419.6764,1.13373223017148e+20,"Very High"
"3944",41.9,"Female","46.52","1.77",184.03,139.62,63.39,0.62,750.2,"HIIT",16.3721900045952,2.61,2,1,14.85,2.98,0.02,307.9,122.93,82.63,1283,"Other","Dinner","Vegetarian",45.63,82.76,13,289,"Baked",58.04,17.89,3.45,"Windshield Wipers",4.99,14.97,"Advanced core exercise",327.3,"Lower Abs, Hip Flexors","Low Bar or TRX","Advanced","Chest","Triceps","Triceps pushdowns",14.8488620766702,2466.99,0.499231857445713,2.64251934651763,0.631879973474801,0.758680649894039,532.8,38.9036572098623,405.852,50017163487987933184,"Low"
"3945",35.91,"Male","87.22","1.71",184.34,160.16,72.93,1.87,2189.58,"Strength",30.0505058846628,3.47,5.02,3,29.83,4.01,0.02,216.47,86.52,57.94,2088,"Other","Breakfast","Keto",23.46,1923.34,57.96,348.85,"Steamed",15.09,7.67,1.24,"Flutter Kicks",4.99,16,"Builds chest strength",345.85,"Lower Abs, Hip Flexors","Resistance Band or Cable Machine","Advanced","Arms","Wrist Flexors","Bird dog",29.8279812591909,1733.42,0.499521177787264,0.991974317817014,0.782963827304551,0.868829337094499,-101.58,61.0099487673971,1293.479,78462330888992604160,"Medium"
"3946",51.71,"Male","57.49","1.56",166.1,151.92,67.71,1.65,2359.5,"HIIT",27.9321762754615,2.72,3.97,3,23.62,3,0.01,295.23,118.7,78.78,1880,"Other","Dinner","Paleo",15.74,1600.24,24.9,430.93,"Steamed",38.29,112.15,3.59,"Dead Bugs",3.99,22.05,"Enhances full-body coordination and stability",353.08,"Core, Lower Back","None or Dumbbells","Intermediate","Chest","Lats","Triceps dips",23.6234385272847,2364.74,0.499386824767205,2.06470690554879,0.855879662567334,0.914629741119807,-479.5,41.4317918592372,1165.164,92908661823478136832,"High"
"3947",56.02,"Male","90.56","1.61",163.36,167.64,50.86,1.38,1325.9,"Cardio",35,2.31,2.98,2,34.94,3.02,0.99,270.83,108.09,72.39,2317,"Other","Breakfast","Vegan",17.57,428.24,68.44,495.53,"Boiled",33.5,82.71,2.29,"Bicycle Crunches",3.99,19.04,"Strengthens back and legs",342.56,"Quadriceps, Hamstrings, Glutes","Cable Machine or Resistance Band","Advanced","Forearms","Lower","Hammer curls",34.9369237297944,2167.19,0.499873107572479,1.19357332155477,1.03804444444444,1.02619980411361,991.1,58.864,945.4656,72569640811102879744,"Medium"
"3948",49.05,"Male","41.34","1.52",170.91,130.06,70.32,1.1,967.12,"Cardio",22.956985813655,2.2,2.99,1,17.89,3.01,0.97,238.99,95.69,63.88,1149,"Other","Dinner","Low-Carb",43.64,463.07,145.4,188.41,"Raw",40.79,77.24,3.59,"Turkish Get-ups",4,21.97,"Improves core stability",341.05,"Shoulders","Dumbbells or Barbell","Advanced","Forearms","Lats","Romanian deadlifts",17.8930055401662,1913.64,0.499550594678205,2.31470730527334,0.593896013520231,0.760985313907905,181.88,31.849582064635,750.31,69997783882138918912,"Medium"
"3949",59.01,"Female","84.69","1.67",190.08,144.11,71,1.99,2330.09,"Strength",28.7108397598304,3.5,5.02,3,30.37,2,0,214.5,86.5,57.27,2431,"Other","Lunch","Vegan",40.25,1034.07,184.6,426.45,"Grilled",37.77,20.21,4.52,"Windshield Wipers",4.01,25.01,"Strengthens lower abs and hip flexors",367.62,"Calves","Kettlebell","Advanced","Chest","Anterior","Face pulls",30.3668112876044,1719.43,0.499002576435214,1.02137206281733,0.613957003694995,0.758154461279461,100.91,60.3747898073996,1463.1276,1.29189233403496e+20,"Very High"
"3950",56.84,"Female","68.15","1.56",167.87,138.37,68.04,1.45,1917.19,"HIIT",31.3408189042498,1.6,3.97,2,28,2.99,0.04,212.04,85.5,56.74,1879,"Other","Snack","Balanced",33.96,1717.14,171.16,305.14,"Fried",25.74,25.05,3.2,"Frog Jumps",3.97,23.03,"Isolates and strengthens triceps",334.41,"Glutes, Hamstrings","None or Dumbbell","Advanced","Forearms","Grip Strength","Face pulls",28.0037804076266,1700.82,0.49867710868875,1.25458547322084,0.704497645998197,0.824268779412641,-38.1900000000001,46.7912319167538,969.789,59613370822797893632,"Low"
"3951",27.63,"Male","109.13","1.79",183.22,119.94,68.1,1.33,1275.74,"Cardio",35,2.12,3.96,1,34.06,2,1.03,220.41,89.88,59.3,2855,"Other","Lunch","Vegan",19.55,578.19,79.27,163.89,"Baked",21.7,103.94,3.33,"Leg Press",4.01,15.98,"Improves core rotation strength",373.6,"Core, Lower Back","Low Bar or TRX","Advanced","Legs","Lower Chest","Dumbbell rows",34.0594862831996,1774.86,0.496737770866435,0.82360487491982,0.450312717164698,0.654622857766619,1579.26,70.9345,993.776,1.47393045631172e+20,"Very High"
"3952",40.46,"Female","81.4","1.76",167.92,166.61,73.92,1.62,2318.38,"HIIT",27.62992400034,3.52,4.99,3,26.28,3.01,0.01,235.46,93.89,62.78,2201,"Other","Lunch","Vegan",27.71,1250.68,185.54,486.96,"Grilled",41.68,14.61,3.4,"Incline Push-ups",5.01,21.96,"Targets lower chest",347.44,"Lower Back, Glutes","Box or Platform","Intermediate","Shoulders","Wrist Flexors","Seated calf raises",26.2784090909091,1882.42,0.500334675577183,1.1534398034398,0.986063829787234,0.992198666031444,-117.38,58.9092418637233,1125.7056,81457747309766410240,"Medium"
"3953",21.5,"Female","59.55","1.7",179.04,123.26,52.38,1.97,1534.24,"Yoga",23.137558356297,2.69,5.03,2,20.61,4.02,4.01,393.25,157.47,104.48,1690,"Other","Lunch","Balanced",37.71,2153.57,92.99,373.66,"Fried",52.68,41.9,4.09,"Face Pulls",3.99,25,"Improves coordination and cardiovascular health",367.72,"Full Body","Pull-up Bar","Advanced","Shoulders","Wrist Extensors","Concentration curls",20.6055363321799,3143.2,0.500445405955714,2.64433249370277,0.559608400442129,0.688449508489723,155.76,45.7715839988251,1448.8168,1.29476605249132e+20,"Very High"
"3954",30.96,"Male","61.88","1.76",189.23,149.97,66.93,1.82,1892.8,"Cardio",20.4493217159849,2.7,3.98,3,19.98,2.99,0.02,182.22,73.48,49.03,1698,"Other","Dinner","Vegetarian",17.39,807.82,155.65,315.09,"Steamed",23.09,12.09,2.7,"Decline Push-ups",4.99,15.03,"Builds calf muscles",356.21,"Lower Back, Glutes","Cable Machine or Resistance Band","Intermediate","Shoulders","Quads","Donkey kicks",19.9767561983471,1464.07,0.497845048392495,1.18745959922431,0.678986099754702,0.792527611900861,-194.8,49.2259597221485,1296.6044,99854249102398849024,"High"
"3955",47.55,"Male","80.42","1.77",198.21,166.58,65.99,1.52,2171.93,"HIIT",27.7008790639324,3.51,3.95,2,25.67,1.98,-0.02,180.11,71.43,48.71,2142,"Other","Breakfast","Balanced",33.24,677.88,138.3,259.89,"Boiled",21.96,24.21,4.4,"Russian Twists",3.99,22.93,"Improves posture and strengthens upper back",348.84,"Obliques, Core","Box or Platform","Intermediate","Forearms","Wrist Flexors","Romanian deadlifts",25.6695074850777,1444.55,0.49872970821363,0.888211887590152,0.76077749205869,0.840421774885223,-29.9299999999998,58.1429530567856,1060.4736,84177859282975244298,"High"
"3956",54.27,"Male","58.72","1.59",186.19,165.73,73.17,1.08,712.15,"Yoga",23.2065232468858,1.9,1.98,1,23.23,2.99,0.02,201.04,80.1,54.04,1622,"Other","Dinner","Keto",37.01,958.12,253.64,251.17,"Fried",38.22,7.55,3.78,"Leg Raises",5.01,19.97,"Improves shoulder health and posture",354.6,"Calves","Cable Machine or Resistance Band","Beginner","Shoulders","Lateral","Plate pinch",23.226929314505,1610.92,0.499193007722295,1.36410081743869,0.81897009378871,0.890112250926473,909.85,45.0931295494286,765.936,96226712393514811392,"High"
"3957",51.33,"Male","57.87","1.77",177.42,122.94,72,1.09,1046.4,"Cardio",21.9371030722334,2.1,4.02,2,18.47,2.02,1,331.99,133.38,89.02,1673,"Other","Snack","Low-Carb",38.71,883.26,272.83,244.27,"Boiled",58.01,112.72,2.01,"Wall Angels",4.98,20.09,"Strengthens core and improves mobility",346.49,"Biceps, Forearms","Dumbbells","Intermediate","Chest","Lats","Barbell rows",18.4717035334674,2662.66,0.498734348358409,2.30482115085537,0.483210017074559,0.692932025701725,626.6,45.1749984520986,755.3482,79656196745375875072,"Medium"
"3958",24.49,"Male","52.45","1.7",190.1,164.11,56.08,0.61,606.1,"Strength",20.627593419219,2.1,2.99,1,18.15,2.99,-0.03,311.88,123.9,82.09,1464,"Other","Lunch","Vegan",41.95,852.78,107.3,499.81,"Steamed",13.86,81.64,4.61,"Lunges",3.01,10.04,"Builds lower body power and endurance",355.56,"Core, Shoulders, Hips","Resistance Band","Intermediate","Forearms","Triceps","Barbell squats",18.1487889273356,2481.93,0.502641089797053,2.36224976167779,0.806073720340248,0.863282482903735,857.9,41.6308272516197,433.7832,98375518320945463206,"High"
"3959",39.04,"Female","63.64","1.56",183.39,147.48,66.38,1.22,1207.8,"Strength",28.7298291749249,2.39,1.98,1,26.15,3,-0.02,159.24,63.08,42.61,1663,"Other","Lunch","Keto",4.42,1867.54,75.7,148.37,"Roasted",15.75,76.44,2.83,"Bench Press",5,15.07,"Improves unilateral leg strength and balance",339.45,"Upper Chest, Triceps","None or Dumbbells","Intermediate","Abs","Posterior","Skull crushers",26.1505588428665,1272.77,0.500451770547703,0.99120050282841,0.693103153576617,0.804187796499264,455.2,45.3563367130778,828.258,67360286533420515338,"Medium"
"3960",50.94,"Male","49.12","1.77",199.07,155.02,74.18,1.47,1294.78,"Cardio",18.2100084913311,3.5,1.99,1,15.68,1.99,3.98,388.38,154.32,102.47,1299,"Other","Snack","Keto",30.52,2443.83,247.94,499,"Steamed",39.15,37.23,2.17,"Resistance Band Pull-Aparts",4.02,16.14,"Isolates and strengthens triceps",335.97,"Core, Shoulders, Legs","None or Dumbbell","Advanced","Arms","Grip Strength","Barbell hip thrusts",15.6787640843946,3093.03,0.502264769497871,3.14169381107492,0.647289614861078,0.778721052895966,4.22000000000003,40.1752438290582,987.7518,61922975181212418058,"Low"
"3961",36.75,"Female","77.37","1.82",191.23,120.86,49.93,1.49,1965.16,"HIIT",22.1404157806821,2.81,3.99,1,23.36,3.03,-0.02,187.74,76.23,51.16,2154,"Other","Lunch","Vegetarian",2.48,2381.78,107.62,336.11,"Baked",40.02,61.24,2.38,"Pull-ups",4.01,19.07,"Isolates triceps",344.63,"Core","Bench, Barbell","Advanced","Arms","Middle","Plate pinch",23.3576862697742,1516.32,0.495251661918328,0.98526560682435,0.501981599433829,0.632013805365267,188.84,60.2399603104863,1026.9974,7.6229968477695e+19,"Medium"
"3962",57.72,"Female","58.12","1.66",171.94,160.92,59.98,1.21,799.33,"Yoga",24.1083375872994,2.91,2.01,1,21.09,3,-0.02,248.77,99.03,65.66,1542,"Other","Lunch","Vegetarian",20.81,2129.05,69.35,405.16,"Baked",40.65,110.95,1.22,"Bench Press",4.03,19.04,"Improves back strength and posture",334.73,"Quadriceps, Hamstrings, Glutes","Bench or Chair","Intermediate","Abs","Upper","Lateral raises",21.09159529685,1982.14,0.502023065979194,1.7038885065382,0.901571989996427,0.93590787484006,742.67,44.1082341942616,810.0466,60080870210111692800,"Low"
"3963",43.31,"Male","82.72","1.85",186.97,141.52,50.28,1.23,885.6,"Yoga",24.8306700838636,3.11,4,2,24.17,2.99,0,155.87,61.98,41.57,2154,"Other","Dinner","Vegan",7.99,1437.77,121.1,391.52,"Fried",6.72,93.99,2.11,"Push-ups",4.98,23.99,"Strengthens back and legs",370.76,"Quadriceps, Glutes","Bench, Barbell","Beginner","Shoulders","Wrist Extensors","Hanging leg raises",24.1694667640614,1245.53,0.500574052812859,0.749274661508704,0.667495793401127,0.756912873723057,1268.4,62.1800697066281,912.0696,1.38484941508728e+20,"Very High"
"3964",52.93,"Male","68.9","1.97",193.95,139,68.95,1.3,1248,"Cardio",19.6000738814422,2.12,2.99,2,17.75,2.99,-0.01,236,94.82,63.63,1932,"Other","Lunch","Low-Carb",47.29,1127.8,110.96,154.76,"Steamed",23.26,74.07,2.24,"Deadlift",4.02,15.88,"Improves balance and leg strength",367.84,"Back, Hamstrings, Glutes","Box or Platform","Beginner","Forearms","Wrist Flexors","Hyperextensions",17.7536138524569,1895.95,0.497903425723252,1.37619738751814,0.5604,0.716679556586749,684,55.3955490956863,956.384,1.29822192132925e+20,"Very High"
"3965",48.36,"Male","71.57","1.64",178.59,154.16,60.08,1.46,1050.32,"Yoga",27.6491097778147,1.91,4.01,1,26.61,2.98,-0.01,173.12,70.2,45.91,1878,"Other","Dinner","Vegan",11.5,1834.78,86.48,425.82,"Steamed",57.25,11.98,2.41,"Squats",4.01,19.94,"Builds calf muscles",345.29,"Quadriceps, Calves, Glutes","Barbell","Advanced","Forearms","Quads","Fat grip dumbbell curl",26.6099048185604,1386.47,0.499455451614532,0.980857901355317,0.793857058476078,0.863206226552439,827.68,51.781532132018,1008.2468,77430614350391296000,"Medium"
"3966",22.74,"Female","59.95","1.59",190.92,122.78,51.96,1.82,2600.6,"HIIT",24.281154680846,2.71,4.01,2,23.71,2.99,0.01,224.26,89.57,60.02,1720,"Other","Breakfast","Keto",36.09,466.14,149.57,315.74,"Grilled",19.16,98.98,1.37,"Tricep Dips",5,23.93,"Full body workout",353.75,"Core, Lower Back","None or Dumbbells","Beginner","Legs","Lower Chest","Cable crossovers",23.7134607017127,1795.5,0.499604566972988,1.49407839866555,0.509643062751871,0.64309658495705,-880.6,45.3934477688328,1287.65,94358632469535129600,"High"
"3967",32.36,"Female","68.41","1.66",167.27,121.94,53.94,1.11,1065.6,"Cardio",25.8240769490395,2.31,3.98,2,24.83,1.99,-0.06,245.95,99.58,66.04,1784,"Other","Dinner","Balanced",37.78,2382.9,208.83,394.56,"Boiled",57.97,28.4,4.31,"Bicep Curls",3.01,9.99,"Targets obliques and improves core rotation",274.45,"Quadriceps, Calves, Glutes","Kettlebell","Intermediate","Forearms","Upper","Hammer curl",24.825809261141,1976.48,0.497753582125799,1.45563514106125,0.60001764757787,0.729001016320918,718.4,50.7437489591621,609.279,11876339839491899392,"Low"
"3968",22.18,"Female","45.35","1.72",166.24,131.82,53.82,1.46,1927.2,"HIIT",14.6237473266525,1.78,4.01,2,15.33,2.99,-0.02,176.87,70.79,46.56,1265,"Other","Dinner","Balanced",16.4,2318.91,149.29,472.18,"Grilled",14.5,28.73,2.48,"Zottman Curls",5.02,21.99,"Improves posture and back strength",329.25,"Lower Abs","Parallel Bars or Chair","Advanced","Arms","Lower","Bent-over rows",15.3292320173067,1409.68,0.501872765450315,1.56097023153252,0.693826721223981,0.792949951876805,-662.2,38.7181305873631,961.41,52503421244388696064,"Low"
"3969",32.86,"Male","46.18","1.5",188.99,143.87,61.72,0.92,808.86,"Cardio",21.7014964283702,1.71,2.96,1,20.52,3,0.03,283.25,113.29,75.54,1357,"Other","Dinner","Balanced",34.74,1470.14,76.66,242.9,"Grilled",27.17,81.56,3,"Bench Press",5,21,"Strengthens back and improves posture",336.56,"Legs, Core","Resistance Band or Cable Machine","Intermediate","Shoulders","Lateral","Leg press",20.5244444444444,2266.02,0.499995586976284,2.45322650498051,0.64547811738823,0.761257209376157,548.14,36.1582489493786,619.2704,6.2816735905362e+19,"Low"
"3970",39.76,"Female","69.9","1.55",170.91,162.73,74.08,0.86,1040.6,"HIIT",31.0116914170786,1.51,2.95,1,29.09,3.99,0.02,281.69,112.78,74.75,1999,"Other","Dinner","Balanced",37.73,1931.76,140.98,422.5,"Raw",17.66,9.4,1.51,"Lunges",4,24.07,"Improves shoulder health and posture",353.04,"Lower Chest, Triceps","Dumbbells or Barbell","Beginner","Chest","Lats","Hammer curl",29.0946930280957,2250.63,0.500642042450336,1.61344778254649,0.915522048951771,0.952138552454508,958.4,48.2228276994621,607.2288,92822718627799793664,"High"
"3971",21.09,"Female","86.46","1.86",162.74,129.04,57.88,1.37,1808.4,"HIIT",30.2798163367655,2.61,3.04,2,24.99,3.01,-0.03,197.86,79.39,53.15,2427,"Other","Breakfast","Vegan",32.8,352.87,117.43,251.92,"Roasted",60.21,61.02,4.88,"Lunges",5.03,24.02,"Targets upper chest",354.95,"Glutes, Hamstrings","Bench or Sturdy Surface","Advanced","Arms","Upper","Dumbbell flyes",24.9913284772806,1587.35,0.498591992944215,0.91822808235022,0.67861911119588,0.792921224038343,618.6,60.2800707952325,972.563,97005309014569779200,"High"
"3972",50.17,"Male","67.11","1.75",161.04,120.24,59.13,0.67,810.7,"HIIT",21.9948621313837,2.7,3.03,1,21.91,2,-0.01,254.53,102.33,68.43,1886,"Other","Dinner","Vegan",42.37,1144.59,190.1,277.51,"Boiled",16.19,90.48,3.19,"Bird Dogs",5,17.96,"Builds calf muscles",335.19,"Quadriceps, Glutes","Wall","Advanced","Abs","Quads","Barbell curls",21.9134693877551,2043.31,0.498269963931073,1.52481001341082,0.59964674712982,0.746646795827124,1075.3,52.3492480236284,449.1546,60758538997841256458,"Low"
"3973",39.15,"Male","60.83","1.65",162.2,166.9,63.12,0.92,1112.19,"HIIT",24.1960186295078,1.69,2.96,1,22.34,2.98,-0.01,225.1,89.87,60.22,1690,"Other","Lunch","Balanced",39.1,1686.29,204.9,367.87,"Fried",10.86,79.54,4.18,"Tricep Dips",5.02,25.17,"Builds calf muscles",328.54,"Legs, Shoulders, Core","Cable Machine or Resistance Band","Beginner","Shoulders","Grip Strength","Barbell hip thrusts",22.3434343434343,1801.86,0.499705859500738,1.47739602169982,1.04743641501817,1.02897657213317,577.81,46.1115618676704,604.5136,51585890161480384512,"Low"
"3974",34.27,"Female","92.2","1.76",174.98,143.08,73.08,0.72,476.06,"Yoga",32.4283181126675,3.51,3.02,1,29.76,4,-0.06,167.09,66.82,44.24,2395,"Other","Snack","Vegetarian",27.06,2389.74,35.4,164.31,"Fried",8.95,117.57,1.51,"Pull-ups",4.99,21.06,"Builds lower body power",357.45,"Core, Obliques","Step or Box","Advanced","Forearms","Lower Chest","Seated cable rows",29.764979338843,1333.8,0.501094616884091,0.724728850325379,0.686947988223749,0.817693450680078,1918.94,62.3010907001205,514.728,1.02729420629787e+20,"High"
"3975",52.11,"Female","61.04","1.69",159.97,151.61,62.94,1.8,1404,"Yoga",21.6927167159121,2.7,4,3,21.37,2.99,4.01,361.9,145.04,96.86,1562,"Other","Lunch","Keto",5.99,983.29,131.04,225.18,"Baked",31.16,69.24,3.87,"Pistol Squats",5.02,14.94,"Targets abdominal muscles",334.55,"Lower Abs","Cable Machine","Intermediate","Chest","Middle","Face pulls",21.3718007072582,2899.5,0.499258492843594,2.37614678899082,0.913841080078326,0.947740201287742,158,47.7987657166073,1204.38,59817507351894712320,"Low"
"3976",59.35,"Female","77.95","1.92",179.86,127.45,53.08,0.71,625.37,"Cardio",26.0552734452053,2.71,2.99,1,21.15,2.99,-0.02,171.13,69.22,46.01,2290,"Other","Snack","Paleo",3.98,214.56,146.97,145.02,"Grilled",56.25,44.97,1.66,"Incline Push-ups",5.01,19,"Builds chest strength",343.81,"Core, Shoulders, Hips","Resistance Band","Beginner","Abs","Wrist Flexors","Bent-over lateral raises",21.1452907986111,1375.49,0.497655380991501,0.888005131494548,0.586606720302887,0.708606694095408,1664.63,57.6399143494625,488.2102,74761046840734777344,"Medium"
"3977",50.06,"Male","56.29","1.59",184.92,163.37,74.06,1.25,1239.75,"Strength",25.9779499168125,2.61,3,1,22.27,2.01,0.01,298.87,119.21,79.13,1596,"Other","Breakfast","Keto",18.21,2209.89,149.38,167.44,"Roasted",50.93,60.98,2.46,"Push-ups",3.99,23.97,"Builds lower body power and endurance",349.54,"Calves","Dumbbells","Beginner","Shoulders","Lower Chest","Dumbbell front raises",22.2657331592896,2384.49,0.501356684238558,2.11778290993072,0.80561068013711,0.883463119186675,356.25,41.6670119918262,873.85,85567574965074051072,"High"
"3978",55.16,"Female","86.24","1.77",176.11,157.02,61.12,1,1322.2,"HIIT",26.583569541627,2.79,3.02,2,27.53,2.98,-0.03,254.81,101.87,67.61,2409,"Other","Breakfast","Paleo",8.3,1700.2,57.6,319.42,"Fried",32.12,78,2.14,"Bicep Curls",3.99,20.98,"Builds explosive power",337.04,"Shoulders, Triceps","Bench or Step","Beginner","Legs","Upper","Seated cable rows",27.527211210061,2035.21,0.500803356901745,1.18123840445269,0.833985563962084,0.891601839759241,1086.8,63.3143296273009,674.08,63552197837968515072,"Low"
"3979",37.5,"Male","48.42","1.67",164.03,132.13,74.2,1.4,1233.12,"Cardio",22.0407905422208,2.99,1.98,1,17.36,2.98,0.03,289.69,115.86,77.32,1394,"Other","Lunch","Vegetarian",3.85,2379.57,293.8,268.36,"Raw",22.64,90.17,4.08,"Pull-ups",4.99,24.94,"Improves shoulder mobility and posture",352.05,"Glutes, Hamstrings","Resistance Band or Cable Machine","Advanced","Abs","Posterior","Decline dumbbell press",17.3616838179928,2318.08,0.499879210381005,2.39281288723668,0.644884782366693,0.805523379869536,160.88,37.7478492194567,985.74,90717744915311509504,"High"
"3980",23.13,"Female","114.71","1.6",181.93,163.24,59.92,1.47,1410.02,"Cardio",35,2.69,3.98,1,44.81,3,0.01,268.79,108.31,71.87,3207,"Other","Dinner","Vegan",38.22,965.68,24.15,211.72,"Steamed",50.71,36.37,3.39,"Bicep Curls",4.02,24.01,"Improves shoulder mobility and posture",351.77,"Chest, Triceps, Shoulders","Resistance Band or Cable Machine","Beginner","Abs","Grip Strength","Face pulls",44.80859375,2155.23,0.498860910436473,0.944207131026066,0.846815834767642,0.897268180069257,1796.98,74.5615,1034.2038,90130054098930876416,"High"
"3981",26.67,"Male","69.98","1.76",170.61,120.84,66.01,0.92,607.75,"Yoga",29.5516607497807,1.97,2.97,1,22.59,2.98,0,315.61,125.25,83.85,2038,"Other","Breakfast","Vegan",36.11,1849.16,162.62,187.8,"Baked",14.4,36.93,3.35,"Prone Cobras",4.01,18.86,"Builds upper body strength",331.17,"Full Body","Resistance Band","Beginner","Shoulders","Wrist Flexors","Bird dog",22.5916838842975,2518.09,0.501348244105651,1.78979708488139,0.524187380497132,0.708282046773343,1430.25,49.2997478073035,609.3528,55056781729913430016,"Low"
"3982",42.73,"Male","55.36","1.82",160.38,123.9,65.89,1.07,1060.26,"Strength",21.5101451342517,2,2.99,1,16.71,3,0.03,272.25,109.94,72.86,1528,"Other","Lunch","Vegan",13.08,104.31,42.95,338.61,"Fried",57.79,103.37,3.98,"Squats",5,18.85,"Builds calf muscles",331.48,"Lower Abs, Hip Flexors","Bench or Step","Beginner","Legs","Lateral","Bicep Curls",16.712957372298,2184.5,0.498512245365072,1.98591040462428,0.613927399724839,0.772540216984661,467.74,43.4519836536782,709.3672,55479103049928122378,"Low"
"3983",33.05,"Female","113.8","1.99",168.93,124.75,57.83,1.38,1214.4,"Cardio",29.5353597410088,3.4,1.98,1,28.74,2.97,-0.01,241.19,96.45,64.68,2823,"Other","Snack","Vegetarian",32.43,96.97,139.62,193.61,"Boiled",33.26,86.48,3.75,"Step-ups",5.01,25,"Activates and strengthens glutes",355.01,"Lower Abs","Kettlebell","Advanced","Legs","Lower Chest","Pull-ups",28.7366480644428,1932.68,0.499182482356107,0.847539543057997,0.602340234023402,0.738471556265909,1608.6,80.188760614732,979.8276,97139336576346456064,"High"
"3984",34.86,"Male","62.81","1.63",184.33,159.86,62.91,1.41,1350.22,"Cardio",21.3737062840556,3.7,4,1,23.64,1.97,-0.01,250.62,100.12,66.29,1677,"Other","Snack","Low-Carb",23.13,556.62,198.66,172.86,"Roasted",46.96,69.53,1.53,"Burpees",4.02,19.94,"Improves core stability",343.98,"Shoulders","Parallel Bars or Chair","Intermediate","Abs","Lower","Dumbbell front raises",23.6403327185818,1999.57,0.501347789774802,1.59401369208725,0.798468127161917,0.867248955677318,326.78,49.3851750829847,970.0236,75063520520587280384,"Medium"
"3985",52.17,"Female","47.95","1.86",179.07,129.25,66.91,1,718.8,"Yoga",15.6109526151753,2.8,3.03,1,13.86,2,-0.02,255.13,102.53,68.33,1284,"Other","Snack","Balanced",17.41,1996.8,87.43,107.26,"Baked",39.54,27.91,1.44,"Wall Angels",4,17.02,"Builds explosive power",326.76,"Lower Chest, Triceps","Low Bar or TRX","Advanced","Back","Lateral","Barbell rows",13.8599838131576,2045.61,0.498882973782881,2.13826903023983,0.555813124108417,0.721784776902887,565.2,40.4645482210234,653.52,49347205595176271872,"Low"
"3986",55.67,"Male","68.83","1.68",195.3,137.79,58.03,0.65,571.48,"Cardio",24.6574353416006,2.1,2,1,24.39,3,0.01,312.65,124.89,82.76,2023,"Other","Dinner","Paleo",31.15,1159.84,90.7,101.64,"Grilled",47.28,86.21,3.69,"Plyometric Push-ups",4.01,16.02,"Builds shoulder width",335.83,"Quadriceps, Calves, Glutes","None or Dumbbells","Beginner","Legs","Lower","Incline cable crossovers",24.3870464852608,2495,0.50124248496994,1.8144704344036,0.581044656516355,0.705529953917051,1451.52,51.8582872543763,436.579,61712542601423699978,"Low"
"3987",33.85,"Male","112.71","1.85",161.96,133.99,66.15,1.19,1572.11,"HIIT",35,3.63,4.01,2,32.93,2,1.02,282.75,112.66,75.2,2942,"Other","Dinner","Balanced",48.13,1491.31,210.02,153.24,"Fried",51.92,73.99,4.07,"Leg Raises",3.99,14.96,"Improves flexibility",351.44,"Full Body","Cable Machine","Beginner","Forearms","Middle","Dumbbell flyes",32.9320672023375,2258.44,0.500788154655426,0.999556383639429,0.708068051351633,0.827303037787108,1369.89,73.2615,836.4272,89441711658755129344,"High"
"3988",50.1,"Female","51.3","1.5",182.01,141.26,57.91,1.32,1157.38,"Cardio",25.7490445482814,2.2,3,1,22.8,2.99,1.05,227.72,91.8,60.23,1434,"Other","Dinner","Vegan",25.32,406.4,101.73,298.67,"Baked",35.99,7.98,2.74,"Windshield Wipers",4.99,15.01,"Targets upper chest",349.98,"Biceps, Forearms","Wall","Advanced","Legs","Lower Chest","Crunches",22.8,1820.15,0.500442271241381,1.78947368421053,0.671635777598711,0.776111202681171,276.62,38.0907401467317,923.9472,86451383682012364800,"High"
